Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Nov 20, 2018	112-7904866-4377005	ST-C0GT-68IG	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018	112-7904866-4377005	ST-C0GT-68IG	Order Payment	Amazon fees	Referral Fee on Item Price	$-5.85		HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018	112-7904866-4377005	ST-C0GT-68IG	Order Payment	Product charges		$38.99	1	HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018		5F-Z3X8-PLQ8	Other	FBA Inventory Reimbursement - Lost:Inbound		$34.09	1	DualShock 4 Wireless Controller for PlayStation 4 - Jet Black [Old Model]
Nov 20, 2018	111-7894440-1737851	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	111-7894440-1737851	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.88		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	111-7894440-1737851	SN-Z9YH-LPU6	Order Payment	Product charges		$12.93	1	Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	111-7894440-1737851	SN-Z9YH-LPU6	Order Payment	Product charges		$12.93	1	Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	114-6342136-0241050	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	114-6342136-0241050	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.94		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	114-6342136-0241050	SN-Z9YH-LPU6	Order Payment	Product charges		$12.93	1	Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	114-7149014-5763423	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	114-7149014-5763423	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.40		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	114-7149014-5763423	YL-ODHG-X4FA	Order Payment	Product charges		$15.98	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	113-2826205-2958663	ST-C0GT-68IG	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018	113-2826205-2958663	ST-C0GT-68IG	Order Payment	Amazon fees	Referral Fee on Item Price	$-9.00		HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018	113-2826205-2958663	ST-C0GT-68IG	Order Payment	Product charges		$59.98	2	HempFusion Hemp Extract 5.0-30 Vegetarian Capsules
Nov 20, 2018	112-6387366-0821040	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	112-6387366-0821040	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-4.80		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	112-6387366-0821040	YL-ODHG-X4FA	Order Payment	Product charges		$31.96	2	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Nov 20, 2018	113-3972269-5516207	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	113-3972269-5516207	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.94		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	113-3972269-5516207	SN-Z9YH-LPU6	Order Payment	Product charges		$12.94	1	Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	113-3972269-5516207	SN-Z9YH-LPU6	Order Payment	Promo rebates		$0.00	1	Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	113-3972269-5516207	SN-Z9YH-LPU6	Order Payment	Other	Product Tax	$0.78		Exederm Shampoo, 8 fl. Ounce
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-4.71		Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.00		Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Product charges		$19.99	1	Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Promo rebates		$0.00	1	Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Promo rebates	Shipping	$-3.13		Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
Nov 20, 2018	112-7649244-9591423	G6-4E0J-IQ3A	Order Payment	Other	Shipping	$3.13		Playtex CleanCuisine Disposable Gloves Medium - 30-Count Package (Pack of 3)
